onset	duration	sample	value
0.002016	n/a	2.016	63
2.039016	n/a	2039.016	16
3.076016	n/a	3076.016	22
8.051016	n/a	8051.016	49
13.101016	n/a	13101.016	7
13.601016	n/a	13601.016	48
16.884016	n/a	16884.016	7
18.923016	n/a	18923.016	15
19.911016	n/a	19911.016	21
24.901016	n/a	24901.016	49
30.170016	n/a	30170.016	4
30.669016	n/a	30669.016	48
40.336016	n/a	40336.016	7
42.337016	n/a	42337.016	13
43.347016	n/a	43347.016	19
48.352016	n/a	48352.016	49
53.287016	n/a	53287.016	6
53.787016	n/a	53787.016	48
62.038016	n/a	62038.016	3
64.037016	n/a	64037.016	16
65.049016	n/a	65049.016	22
70.054016	n/a	70054.016	49
74.870016	n/a	74870.016	7
75.371016	n/a	75371.016	48
82.071016	n/a	82071.016	4
84.073016	n/a	84073.016	12
85.085016	n/a	85085.016	18
90.088016	n/a	90088.016	49
100.556016	n/a	100556.016	4
101.056016	n/a	101056.016	48
106.373016	n/a	106373.016	5
108.375016	n/a	108375.016	16
109.385016	n/a	109385.016	22
114.389016	n/a	114389.016	49
121.023016	n/a	121023.016	3
121.524016	n/a	121524.016	48
128.440016	n/a	128440.016	5
130.440016	n/a	130440.016	16
131.452016	n/a	131452.016	22
136.456016	n/a	136456.016	49
138.840016	n/a	138840.016	7
139.341016	n/a	139341.016	48
144.990016	n/a	144990.016	2
146.991016	n/a	146991.016	17
148.000016	n/a	148000.016	23
153.007016	n/a	153007.016	49
155.674016	n/a	155674.016	1
156.174016	n/a	156174.016	48
161.129016	n/a	161129.016	8
163.125016	n/a	163125.016	17
164.135016	n/a	164135.016	23
169.141016	n/a	169141.016	49
173.609016	n/a	173609.016	2
174.109016	n/a	174109.016	48
176.159016	n/a	176159.016	5
178.160016	n/a	178160.016	13
179.172016	n/a	179172.016	19
184.175016	n/a	184175.016	49
189.576016	n/a	189576.016	3
190.076016	n/a	190076.016	48
194.210016	n/a	194210.016	4
196.210016	n/a	196210.016	13
197.222016	n/a	197222.016	19
202.226016	n/a	202226.016	49
205.010016	n/a	205010.016	9
205.510016	n/a	205510.016	48
208.894016	n/a	208894.016	1
210.898016	n/a	210898.016	13
211.905016	n/a	211905.016	19
216.910016	n/a	216910.016	49
218.860016	n/a	218860.016	9
219.361016	n/a	219361.016	48
221.827016	n/a	221827.016	1
223.827016	n/a	223827.016	16
224.841016	n/a	224841.016	22
229.844016	n/a	229844.016	49
231.711016	n/a	231711.016	9
232.211016	n/a	232211.016	48
238.827016	n/a	238827.016	2
240.829016	n/a	240829.016	17
241.841016	n/a	241841.016	23
246.845016	n/a	246845.016	49
253.729016	n/a	253729.016	1
254.229016	n/a	254229.016	48
256.046016	n/a	256046.016	5
258.047016	n/a	258047.016	14
259.062016	n/a	259062.016	20
264.063016	n/a	264063.016	49
266.330016	n/a	266330.016	1
266.830016	n/a	266830.016	48
268.797016	n/a	268797.016	5
270.799016	n/a	270799.016	15
271.809016	n/a	271809.016	21
276.813016	n/a	276813.016	49
283.047016	n/a	283047.016	7
283.547016	n/a	283547.016	48
288.664016	n/a	288664.016	6
290.665016	n/a	290665.016	16
291.673016	n/a	291673.016	22
296.680016	n/a	296680.016	49
300.314016	n/a	300314.016	3
300.815016	n/a	300815.016	48
303.698016	n/a	303698.016	3
305.700016	n/a	305700.016	15
306.711016	n/a	306711.016	21
311.715016	n/a	311715.016	49
319.149016	n/a	319149.016	1
319.649016	n/a	319649.016	48
325.182016	n/a	325182.016	6
327.184016	n/a	327184.016	17
328.198016	n/a	328198.016	23
333.199016	n/a	333199.016	49
336.566016	n/a	336566.016	1
337.066016	n/a	337066.016	48
339.283016	n/a	339283.016	5
341.285016	n/a	341285.016	12
342.296016	n/a	342296.016	18
347.300016	n/a	347300.016	49
349.600016	n/a	349600.016	7
350.100016	n/a	350100.016	48
355.634016	n/a	355634.016	2
357.634016	n/a	357634.016	12
358.645016	n/a	358645.016	18
363.650016	n/a	363650.016	49
369.534016	n/a	369534.016	5
370.034016	n/a	370034.016	48
373.534016	n/a	373534.016	5
375.536016	n/a	375536.016	17
376.547016	n/a	376547.016	23
381.550016	n/a	381550.016	49
383.819016	n/a	383819.016	1
384.319016	n/a	384319.016	48
386.652016	n/a	386652.016	5
388.653016	n/a	388653.016	16
389.667016	n/a	389667.016	22
394.669016	n/a	394669.016	49
397.703016	n/a	397703.016	4
398.203016	n/a	398203.016	48
402.720016	n/a	402720.016	5
404.720016	n/a	404720.016	14
405.732016	n/a	405732.016	20
410.736016	n/a	410736.016	49
413.736016	n/a	413736.016	2
414.237016	n/a	414237.016	48
417.620016	n/a	417620.016	5
419.622016	n/a	419622.016	12
420.632016	n/a	420632.016	18
425.636016	n/a	425636.016	49
430.820016	n/a	430820.016	6
431.321016	n/a	431321.016	48
436.437016	n/a	436437.016	2
438.439016	n/a	438439.016	17
439.448016	n/a	439448.016	23
444.453016	n/a	444453.016	49
447.538016	n/a	447538.016	1
448.037016	n/a	448037.016	48
453.205016	n/a	453205.016	5
455.205016	n/a	455205.016	17
456.217016	n/a	456217.016	23
461.222016	n/a	461222.016	49
462.428016	n/a	462428.016	2
462.938016	n/a	462938.016	48
467.939016	n/a	467939.016	5
469.940016	n/a	469940.016	16
470.950016	n/a	470950.016	22
475.956016	n/a	475956.016	49
478.556016	n/a	478556.016	4
479.056016	n/a	479056.016	48
481.423016	n/a	481423.016	3
483.423016	n/a	483423.016	17
484.436016	n/a	484436.016	23
489.441016	n/a	489441.016	49
491.124016	n/a	491124.016	1
491.623016	n/a	491623.016	48
493.240016	n/a	493240.016	5
495.242016	n/a	495242.016	15
496.252016	n/a	496252.016	21
501.256016	n/a	501256.016	49
505.340016	n/a	505340.016	7
505.840016	n/a	505840.016	48
510.740016	n/a	510740.016	6
512.742016	n/a	512742.016	14
513.752016	n/a	513752.016	20
518.757016	n/a	518757.016	49
521.774016	n/a	521774.016	1
522.274016	n/a	522274.016	48
526.292016	n/a	526292.016	6
528.294016	n/a	528294.016	12
529.306016	n/a	529306.016	18
534.308016	n/a	534308.016	49
540.709016	n/a	540709.016	5
541.209016	n/a	541209.016	48
546.309016	n/a	546309.016	3
548.311016	n/a	548311.016	14
549.322016	n/a	549322.016	20
554.326016	n/a	554326.016	49
559.377016	n/a	559377.016	7
559.877016	n/a	559877.016	48
561.976016	n/a	561976.016	7
563.977016	n/a	563977.016	14
564.989016	n/a	564989.016	20
569.993016	n/a	569993.016	49
574.943016	n/a	574943.016	3
575.443016	n/a	575443.016	48
580.094016	n/a	580094.016	7
582.094016	n/a	582094.016	13
583.107016	n/a	583107.016	19
588.110016	n/a	588110.016	49
592.094016	n/a	592094.016	4
592.594016	n/a	592594.016	48
595.378016	n/a	595378.016	5
597.378016	n/a	597378.016	14
598.392016	n/a	598392.016	20
603.395016	n/a	603395.016	49
604.928016	n/a	604928.016	1
605.429016	n/a	605429.016	48
607.728016	n/a	607728.016	5
609.729016	n/a	609729.016	13
610.739016	n/a	610739.016	19
615.745016	n/a	615745.016	49
620.629016	n/a	620629.016	5
621.131016	n/a	621131.016	48
622.912016	n/a	622912.016	3
624.913016	n/a	624913.016	13
625.924016	n/a	625924.016	19
630.929016	n/a	630929.016	49
634.929016	n/a	634929.016	8
635.429016	n/a	635429.016	48
640.697016	n/a	640697.016	4
642.696016	n/a	642696.016	14
643.707016	n/a	643707.016	20
648.713016	n/a	648713.016	49
650.197016	n/a	650197.016	1
650.697016	n/a	650697.016	48
652.047016	n/a	652047.016	5
654.049016	n/a	654049.016	12
655.061016	n/a	655061.016	18
660.064016	n/a	660064.016	49
668.715016	n/a	668715.016	9
669.215016	n/a	669215.016	48
672.515016	n/a	672515.016	2
674.516016	n/a	674516.016	17
675.526016	n/a	675526.016	23
680.531016	n/a	680531.016	49
683.232016	n/a	683232.016	1
683.732016	n/a	683732.016	48
685.165016	n/a	685165.016	5
687.168016	n/a	687168.016	15
688.177016	n/a	688177.016	21
693.182016	n/a	693182.016	49
697.916016	n/a	697916.016	8
698.416016	n/a	698416.016	48
700.566016	n/a	700566.016	9
702.566016	n/a	702566.016	15
703.576016	n/a	703576.016	21
708.582016	n/a	708582.016	49
713.616016	n/a	713616.016	8
714.117016	n/a	714117.016	48
718.716016	n/a	718716.016	7
720.717016	n/a	720717.016	12
